Visibility,Flight Phase,0
DAWN,APPROACH,870
DAWN,ARRIVAL,4
DAWN,CLIMB,912
DAWN,DEPARTURE,8
DAWN,DESCENT,30
DAWN,EN ROUTE,45
DAWN,LANDING,2
DAWN,LANDING ROLL,414
DAWN,LOCAL,3
DAWN,PARKED,1
DAWN,TAKEOFF RUN,1123
DAWN,TAXI,10
DAY,APPROACH,22148
DAY,ARRIVAL,88
DAY,CLIMB,11711
DAY,DEPARTURE,260
DAY,DESCENT,787
DAY,EN ROUTE,1289
DAY,LANDING,159
DAY,LANDING ROLL,14564
DAY,LOCAL,217
DAY,PARKED,74
DAY,TAKEOFF RUN,15412
DAY,TAXI,237
DUSK,APPROACH,1898
DUSK,ARRIVAL,5
DUSK,CLIMB,825
DUSK,DEPARTURE,6
DUSK,DESCENT,72
DUSK,EN ROUTE,83
DUSK,LANDING,15
DUSK,LANDING ROLL,1076
DUSK,LOCAL,14
DUSK,PARKED,4
DUSK,TAKEOFF RUN,858
DUSK,TAXI,18
NIGHT,APPROACH,18805
NIGHT,ARRIVAL,23
NIGHT,CLIMB,4428
NIGHT,DEPARTURE,53
NIGHT,DESCENT,1969
NIGHT,EN ROUTE,1368
NIGHT,LANDING,26
NIGHT,LANDING ROLL,3010
NIGHT,LOCAL,18
NIGHT,PARKED,6
NIGHT,TAKEOFF RUN,1828
NIGHT,TAXI,99
UNKNOWN,APPROACH,20
UNKNOWN,CLIMB,2
UNKNOWN,PARKED,1
UNKNOWN,TAKEOFF RUN,3
